Project_ID,Project_Name,Location,Project_Type,Area_sqft,Estimated_Budget_INR,Actual_Cost_INR,Material_Cost_INR,Labour_Cost_INR,Equipment_Cost_INR,Other_Cost_INR,Expected_Duration_Days,Actual_Duration_Days,Delay_Days,Contractor,Project_Status,Start_Date,Expected_End_Date,Actual_End_Date,Budget_Variance_INR,Budget_Overrun_Pct,Cost_Per_Sqft_INR
P0001,Shree Heights,Pune,Residential,9324,24482000,22391000,7879000,4812000,1758000,7942000,326,331,5,Sunrise Constructions,Ongoing,2025-01-31,2025-12-23,2025-12-28,-2091000,-8.54,2401.44
P0002,Galaxy Plaza,Surat,Industrial,81323,167065000,189691000,73217000,53924000,26056000,36494000,738,738,0,Sunrise Constructions,Completed,2025-12-30,2028-01-07,2028-01-07,22626000,13.54,2332.56
P0003,Silver Plaza,Ahmedabad,Industrial,14111,28387000,29747000,9863000,8583000,3231000,8070000,265,385,120,Urban Infra,Ongoing,2024-05-10,2025-01-30,2025-05-30,1360000,4.79,2108.07
P0004,Silver Complex,Ahmedabad,Infrastructure,21389,57478000,57112000,23537000,10285000,7010000,16280000,220,220,0,Apex Developers,Ongoing,2025-07-18,2026-02-23,2026-02-23,-366000,-0.64,2670.16
P0005,Skyline Mall,Gandhinagar,Commercial,127177,402302000,329888000,150622000,82900000,36570000,59796000,360,390,30,GreenStone Projects,Completed,2025-02-04,2026-01-30,2026-03-01,-72414000,-18.0,2593.93
P0006,Crystal Plaza,Ahmedabad,Infrastructure,46427,119935000,118673000,51747000,31605000,12836000,22485000,878,883,5,Sunrise Constructions,Completed,2024-12-31,2027-05-28,2027-06-02,-1262000,-1.05,2556.12
P0007,Metro Business Park,Mumbai,Commercial,127883,385322000,402898000,152160000,102437000,55113000,93188000,282,292,10,MetroBuild,Completed,2024-11-10,2025-08-19,2025-08-29,17576000,4.56,3150.52
P0008,Metro Plaza,Ahmedabad,Commercial,136189,467298000,523114000,174684000,99288000,68251000,180891000,292,307,15,GreenStone Projects,Ongoing,2022-05-02,2023-02-18,2023-03-05,55816000,11.94,3841.09
P0009,Skyline Residency,Ahmedabad,Infrastructure,130808,387252000,467535000,164733000,96372000,50808000,155622000,621,651,30,Apex Developers,Ongoing,2023-04-12,2024-12-23,2025-01-22,80283000,20.73,3574.21
P0010,Galaxy Residency,Ahmedabad,Infrastructure,117221,338251000,427618000,174160000,89817000,33752000,129889000,666,756,90,Patel Construction,Ongoing,2025-05-23,2027-03-20,2027-06-18,89367000,26.42,3647.96
P0011,Shree Business Park,Gandhinagar,Commercial,18234,64012000,74865000,26437000,20948000,5932000,21548000,403,433,30,MetroBuild,Completed,2022-11-27,2024-01-04,2024-02-03,10853000,16.95,4105.79
P0012,Sunrise Heights,Ahmedabad,Infrastructure,58441,168269000,160284000,65241000,37760000,21498000,35785000,478,498,20,Urban Infra,Completed,2026-01-22,2027-05-15,2027-06-04,-7985000,-4.75,2742.66
P0013,Galaxy Business Park,Gandhinagar,Commercial,5846,18758000,18447000,6587000,4398000,2073000,5389000,500,562,62,Shree BuildTech,Delayed,2022-03-29,2023-08-11,2023-10-12,-311000,-1.66,3155.49
P0014,Royal Business Park,Rajkot,Industrial,15954,29551000,32762000,14934000,9573000,3556000,4699000,652,667,15,MetroBuild,Completed,2025-10-28,2027-08-11,2027-08-26,3211000,10.87,2053.53
P0015,Urban Heights,Surat,Infrastructure,84239,261083000,282584000,108389000,72469000,35166000,66560000,282,287,5,Royal Infra,Ongoing,2025-01-28,2025-11-06,2025-11-11,21501000,8.24,3354.55
P0016,Silver Business Park,Vadodara,Industrial,51514,89870000,109228000,39244000,31440000,15151000,23393000,728,748,20,GreenStone Projects,Ongoing,2024-05-21,2026-05-19,2026-06-08,19358000,21.54,2120.36
P0017,Urban Heights,Ahmedabad,Residential,93236,247216000,325714000,146562000,76471000,39187000,63494000,426,546,120,Royal Infra,Completed,2022-05-11,2023-07-11,2023-11-08,78498000,31.75,3493.44
P0018,Silver Plaza,Surat,Industrial,102579,210858000,272442000,102126000,53925000,35697000,80694000,458,578,120,Patel Construction,Completed,2025-08-25,2026-11-26,2027-03-26,61584000,29.21,2655.92
P0019,Sunrise Complex,Gandhinagar,Industrial,142541,251487000,301601000,101892000,87945000,39577000,72187000,174,264,90,MetroBuild,Completed,2024-02-09,2024-08-01,2024-10-30,50114000,19.93,2115.89
P0020,Crystal Heights,Surat,Commercial,47101,154385000,167253000,68785000,39312000,16475000,42681000,452,452,0,Apex Developers,Completed,2022-12-10,2024-03-06,2024-03-06,12868000,8.34,3550.94
P0021,Sunrise Business Park,Ahmedabad,Industrial,69323,143652000,169785000,70130000,34262000,15608000,49785000,246,256,10,Apex Developers,Ongoing,2025-12-08,2026-08-11,2026-08-21,26133000,18.19,2449.19
P0022,Metro Industrial Park,Vadodara,Infrastructure,96922,278383000,339453000,147442000,73419000,45518000,73074000,824,884,60,Patel Construction,Completed,2024-03-16,2026-06-18,2026-08-17,61070000,21.94,3502.33
P0023,Galaxy Residency,Ahmedabad,Commercial,132534,466343000,467427000,167542000,86986000,46824000,166075000,362,482,120,GreenStone Projects,Completed,2023-01-21,2024-01-18,2024-05-17,1084000,0.23,3526.85
P0024,Metro Plaza,Mumbai,Residential,72584,192921000,184448000,72120000,43566000,26241000,42521000,719,779,60,Apex Developers,Ongoing,2025-04-30,2027-04-19,2027-06-18,-8473000,-4.39,2541.17
P0025,Skyline Business Park,Ahmedabad,Infrastructure,109537,304534000,282580000,103192000,79794000,21356000,78238000,528,533,5,MetroBuild,Completed,2024-08-13,2026-01-23,2026-01-28,-21954000,-7.21,2579.77
P0026,Urban Enclave,Vadodara,Residential,83477,196941000,180168000,59987000,52614000,13451000,54116000,622,712,90,Shree BuildTech,Ongoing,2022-10-04,2024-06-17,2024-09-15,-16773000,-8.52,2158.3
P0027,Royal Industrial Park,Ahmedabad,Industrial,47533,99885000,85318000,39268000,24905000,12299000,8846000,846,866,20,MetroBuild,Completed,2025-03-30,2027-07-24,2027-08-13,-14567000,-14.58,1794.92
P0028,Skyline Enclave,Rajkot,Infrastructure,6828,20046000,21048000,9190000,4105000,2565000,5188000,723,768,45,Shree BuildTech,Completed,2023-04-05,2025-03-28,2025-05-12,1002000,5.0,3082.6
P0029,Shree Business Park,Gandhinagar,Infrastructure,6917,17925000,16133000,5941000,3644000,1619000,4929000,422,432,10,Apex Developers,Completed,2025-08-30,2026-10-26,2026-11-05,-1792000,-10.0,2332.37
P0030,Galaxy Industrial Park,Rajkot,Residential,25618,55907000,51769000,21531000,9494000,6751000,13993000,583,588,5,MetroBuild,Completed,2022-01-22,2023-08-28,2023-09-02,-4138000,-7.4,2020.81
P0031,Green Valley Plaza,Mumbai,Infrastructure,37254,106837000,117964000,41547000,33339000,14602000,28476000,354,433,79,Apex Developers,Delayed,2022-09-10,2023-08-30,2023-11-17,11127000,10.41,3166.48
P0032,Royal Heights,Rajkot,Infrastructure,110292,341132000,355389000,164345000,79270000,39980000,71794000,815,825,10,GreenStone Projects,Ongoing,2024-01-18,2026-04-12,2026-04-22,14257000,4.18,3222.26
P0033,Metro Industrial Park,Surat,Infrastructure,52362,159183000,170573000,57719000,43621000,13289000,55944000,157,202,45,Shree BuildTech,Completed,2024-05-06,2024-10-10,2024-11-24,11390000,7.16,3257.57
P0034,Galaxy Residency,Pune,Industrial,25128,50068000,59271000,19003000,15754000,8000000,16514000,258,288,30,GreenStone Projects,Completed,2023-04-20,2024-01-03,2024-02-02,9203000,18.38,2358.76
P0035,Metro Mall,Ahmedabad,Residential,128781,287626000,323218000,129391000,74851000,45018000,73958000,314,319,5,Apex Developers,Completed,2024-12-18,2025-10-28,2025-11-02,35592000,12.37,2509.83
P0036,Urban Residency,Vadodara,Infrastructure,70545,188821000,227013000,93825000,49210000,19018000,64960000,646,736,90,Sunrise Constructions,Completed,2023-05-26,2025-03-02,2025-05-31,38192000,20.23,3217.99
P0037,Skyline Business Park,Ahmedabad,Commercial,87180,304813000,313835000,129499000,92727000,43322000,48287000,888,978,90,Urban Infra,Completed,2026-02-08,2028-07-15,2028-10-13,9022000,2.96,3599.85
P0038,Metro Business Park,Vadodara,Commercial,92958,279682000,339370000,111558000,100365000,47589000,79858000,766,786,20,MetroBuild,Ongoing,2023-12-01,2026-01-05,2026-01-25,59688000,21.34,3650.79
P0039,Urban Plaza,Gandhinagar,Commercial,145937,448905000,477262000,176705000,102484000,54386000,143687000,120,221,101,Sunrise Constructions,Delayed,2024-09-02,2024-12-31,2025-04-11,28357000,6.32,3270.33
P0040,Sunrise Business Park,Rajkot,Commercial,138291,410896000,427432000,170918000,101539000,52358000,102617000,680,740,60,GreenStone Projects,Completed,2022-07-09,2024-05-19,2024-07-18,16536000,4.02,3090.82
P0041,Galaxy Heights,Gandhinagar,Industrial,44809,89287000,106732000,37853000,31672000,10735000,26472000,215,220,5,Royal Infra,Ongoing,2024-08-15,2025-03-18,2025-03-23,17445000,19.54,2381.93
P0042,Galaxy Industrial Park,Ahmedabad,Infrastructure,121748,377601000,345634000,158860000,62416000,31986000,92372000,832,960,128,Apex Developers,Delayed,2023-11-18,2026-02-27,2026-07-05,-31967000,-8.47,2838.93
P0043,Skyline Enclave,Ahmedabad,Residential,10287,23681000,29905000,9986000,6864000,3821000,9234000,532,542,10,Apex Developers,Completed,2024-08-15,2026-01-29,2026-02-08,6224000,26.28,2907.07
P0044,Urban Heights,Ahmedabad,Infrastructure,13512,38007000,37481000,14917000,7198000,5208000,10158000,657,747,90,Urban Infra,Ongoing,2023-07-17,2025-05-04,2025-08-02,-526000,-1.38,2773.9
P0045,Skyline Residency,Ahmedabad,Industrial,137414,271414000,237169000,102131000,57181000,29012000,48845000,548,593,45,Apex Developers,Ongoing,2025-06-21,2026-12-21,2027-02-04,-34245000,-12.62,1725.94
P0046,Urban Industrial Park,Ahmedabad,Commercial,113872,408074000,448237000,162208000,82010000,49722000,154297000,354,474,120,Urban Infra,Completed,2024-04-11,2025-03-31,2025-07-29,40163000,9.84,3936.32
P0047,Galaxy Enclave,Pune,Industrial,98070,171996000,167648000,70392000,38363000,13867000,45026000,468,580,112,MetroBuild,Delayed,2025-02-28,2026-06-11,2026-10-01,-4348000,-2.53,1709.47
